"","settings","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"1","L_0.5","L",0.5,0.717954478720848,0.71610481809838,0.000223125628313755,0.0132679707725205,0.000176039048420458,0.00364963503649635,2.66396717992434e-05,0.101553606107279,8.09437043980035e-07,12777.5219899664,299.480643057797,9.29994562476433e-66,4
"2","LQ_0.5","LQ",0.5,0.722318862501891,0.719050964281376,6.89033618959317e-05,0.0134548820938716,0.000181033852159986,0.00364963503649635,2.66396717992434e-05,0.106040313399853,0.00213149886408179,12688.9113740151,210.87002710647,1.62192654685019e-46,8
"3","H_0.5","H",0.5,0.804548123893333,0.785471105956775,0.000160792639100049,0.0210921667186119,0.000408026773942969,0.00547445255474453,5.99392615482977e-05,0.127988347954195,0.00262743320531119,12626.5712577756,148.529910866935,5.58490029439288e-33,38
"4","LQH_0.5","LQH",0.5,0.804109164464455,0.784220222579453,0.00018947595636481,0.0222425118987608,0.000449302991520114,0.00547445255474453,5.99392615482977e-05,0.135287618027188,0.00379224674471664,12641.4584877344,163.417140825721,3.26809380131805e-36,40
"5","LQHP_0.5","LQHP",0.5,0.803412168074006,0.782913255858342,0.000199472982487175,0.0222313758038032,0.000429662479178597,0.00547445255474453,5.99392615482977e-05,0.137754190941762,0.00228199517173818,12627.514799588,149.473452679316,3.48439934081078e-33,43
"6","LQHPT_0.5","LQHPT",0.5,0.826248439172977,0.787446516902056,6.38015409864189e-05,0.0386249858200059,0.000163468764295368,0.00882832206076029,6.6590833502118e-05,0.151761200026786,0.00347268727793538,12700.0876703827,222.046323474062,6.06916943341664e-49,83
"7","L_2.5","L",2.5,0.715408217439146,0.714241374893021,0.000290663679265788,0.0145903857789988,0.000212879357180012,0.00182481751824818,6.65991794981086e-06,0.0969664501439764,5.45663709204939e-05,12798.0089114924,319.967564583767,3.3098013164112e-70,3
"8","LQ_2.5","LQ",2.5,0.718519490688425,0.715342729213263,0.000121012634978092,0.0128798636882292,0.000165890888627366,0.00364963503649635,2.66396717992434e-05,0.094795642759883,0.000672934480257741,12727.8746896211,249.833342712454,5.61377109460204e-55,5
"9","H_2.5","H",2.5,0.782362877082462,0.763826876904998,0.000142647409431812,0.0179452425627498,0.000322031730635928,0.00547445255474453,5.99392615482977e-05,0.111514765954597,0.00290631005235291,12496.3506909565,18.309344047866,0.00010569445996312,18
"10","LQH_2.5","LQH",2.5,0.777948072285941,0.760408635398541,0.000141843333630577,0.0172642074388995,0.000298052858493353,0.00547445255474453,5.99392615482977e-05,0.112156521350923,0.00140764041731792,12506.1531631663,28.1118162576986,7.86090285382495e-07,17
"11","LQHP_2.5","LQHP",2.5,0.779132224664181,0.761156559210662,0.000125013758441722,0.0176801075105167,0.000312586201583429,0.0072992700729927,0.000106558687196974,0.103328199290163,0.000861904708326671,12495.2910677557,17.249720847045,0.000179533905572805,16
"12","LQHPT_2.5","LQHPT",2.5,0.783398732356352,0.765142251651355,0.000210244919424862,0.0174107473074723,0.000303134121804653,0.00912408759124088,0.000166497948745271,0.109740172771714,0.000647787869771078,12478.0413469086,0,0.999713985544179,17
